Date,Time,EthSourceHwAddress,Eth.DestinationHwAddress,IPSourceAddress,TCPSourcePort,IPDestinationAddress,TCPDestinationPort,IPTotalLength,TCPSyn,TCPFin,TCPAck,TCPWindowSize,TCPAcknowledgmentNumber,TCPSequenceNumber,IPTimeToLive
2019-07-04,05-34-38-402,50E549D02BD2,000C2916D761,192.168.137.10,37590,10.0.0.1,3128,40,False,False,True,64240,1515552389,1037660455,128
2019-07-04,05-34-38-402,50E549D02BD2,000C2916D761,192.168.137.10,37590,10.0.0.1,3128,152,False,False,True,64240,1515552389,1037660455,128
2019-07-04,05-34-38-402,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37590,40,False,False,True,64240,1037660567,1515552389,128
2019-07-04,05-34-38-402,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37587,79,False,False,True,64240,2328313882,1888432240,128
2019-07-04,05-34-38-402,50E549D02BD2,000C2916D761,192.168.137.10,37587,10.0.0.1,3128,241,False,False,True,64201,1888432279,2328313882,128
2019-07-04,05-34-38-402,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37587,40,False,False,True,64240,2328314083,1888432279,128
2019-07-04,05-34-38-402,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37590,79,False,False,True,64240,1037660567,1515552389,128
2019-07-04,05-34-38-402,50E549D02BD2,000C2916D761,192.168.137.10,37590,10.0.0.1,3128,241,False,False,True,64201,1515552428,1037660567,128
2019-07-04,05-34-38-402,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37590,40,False,False,True,64240,1037660768,1515552428,128
2019-07-04,05-34-38-402,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37587,1500,False,False,True,64240,2328314083,1888432279,128
2019-07-04,05-34-38-402,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37587,1500,False,False,True,64240,2328314083,1888433739,128
2019-07-04,05-34-38-402,50E549D02BD2,000C2916D761,192.168.137.10,37587,10.0.0.1,3128,40,False,False,True,64240,1888435199,2328314083,128
2019-07-04,05-34-38-402,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37587,1500,False,False,True,64240,2328314083,1888435199,128
2019-07-04,05-34-38-402,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37587,1218,False,False,True,64240,2328314083,1888436659,128
2019-07-04,05-34-38-402,50E549D02BD2,000C2916D761,192.168.137.10,37587,10.0.0.1,3128,40,False,False,True,64240,1888437837,2328314083,128
2019-07-04,05-34-38-404,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37590,1500,False,False,True,64240,1037660768,1515552428,128
2019-07-04,05-34-38-404,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37590,1500,False,False,True,64240,1037660768,1515553888,128
2019-07-04,05-34-38-404,50E549D02BD2,000C2916D761,192.168.137.10,37590,10.0.0.1,3128,40,False,False,True,64240,1515555348,1037660768,128
2019-07-04,05-34-38-404,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37590,1500,False,False,True,64240,1037660768,1515555348,128
2019-07-04,05-34-38-839,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37590,1217,False,False,True,64240,1037660768,1515556808,128
2019-07-04,05-34-38-839,50E549D02BD2,000C2916D761,192.168.137.10,37587,10.0.0.1,3128,166,False,False,True,64240,1888437837,2328314083,128
2019-07-04,05-34-38-839,50E549D02BD2,000C2916D761,192.168.137.10,37590,10.0.0.1,3128,40,False,False,True,64240,1515557985,1037660768,128
2019-07-04,05-34-38-839,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37587,40,False,False,True,64240,2328314209,1888437837,128
2019-07-04,05-34-38-839,50E549D02BD2,000C2916D761,192.168.137.10,37590,10.0.0.1,3128,166,False,False,True,64240,1515557985,1037660768,128
2019-07-04,05-34-38-840,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37590,40,False,False,True,64240,1037660894,1515557985,128
2019-07-04,05-34-38-840,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37587,334,False,False,True,64240,2328314209,1888437837,128
2019-07-04,05-34-38-840,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37590,334,False,False,True,64240,1037660894,1515557985,128
2019-07-04,05-34-38-840,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37587,334,False,False,True,64240,2328314209,1888437837,128
2019-07-04,05-34-38-840,50E549D02BD2,000C2916D761,192.168.137.10,37587,10.0.0.1,3128,40,False,False,True,63946,1888438131,2328314209,128
2019-07-04,05-34-38-840,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37590,334,False,False,True,64240,1037660894,1515557985,128
2019-07-04,05-34-38-840,50E549D02BD2,000C2916D761,192.168.137.10,37590,10.0.0.1,3128,40,False,False,True,63946,1515558279,1037660894,128
2019-07-04,05-34-38-840,50E549D02BD2,000C2916D761,192.168.137.10,37591,10.0.0.1,3128,52,True,False,False,64240,0,1089942879,128
2019-07-04,05-34-38-840,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37591,44,True,False,True,64240,1089942880,1359244880,128
2019-07-04,05-34-38-840,50E549D02BD2,000C2916D761,192.168.137.10,37591,10.0.0.1,3128,40,False,False,True,64240,1359244881,1089942880,128
2019-07-04,05-34-38-840,50E549D02BD2,000C2916D761,192.168.137.10,37591,10.0.0.1,3128,168,False,False,True,64240,1359244881,1089942880,128
2019-07-04,05-34-38-840,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37591,40,False,False,True,64240,1089943008,1359244881,128
2019-07-04,05-34-38-840,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37591,79,False,False,True,64240,1089943008,1359244881,128
2019-07-04,05-34-38-840,50E549D02BD2,000C2916D761,192.168.137.10,37591,10.0.0.1,3128,623,False,False,True,64201,1359244920,1089943008,128
2019-07-04,05-34-38-840,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37591,40,False,False,True,64240,1089943591,1359244920,128
2019-07-04,05-34-38-840,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37591,252,False,False,True,64240,1089943591,1359244920,128
2019-07-04,05-34-39-840,50E549D02BD2,000C2916D761,192.168.137.10,37591,10.0.0.1,3128,1500,False,False,True,63989,1359245132,1089943591,128
2019-07-04,05-34-39-840,50E549D02BD2,000C2916D761,192.168.137.10,37591,10.0.0.1,3128,1500,False,False,True,63989,1359245132,1089945051,128
2019-07-04,05-34-39-840,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37591,40,False,False,True,64240,1089945051,1359245132,128
2019-07-04,05-34-39-840,50E549D02BD2,000C2916D761,192.168.137.10,37591,10.0.0.1,3128,79,False,False,True,63989,1359245132,1089946511,128
2019-07-04,05-34-39-840,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37591,40,False,False,True,64240,1089946511,1359245132,128
2019-07-04,05-34-39-840,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37591,40,False,False,True,64240,1089946550,1359245132,128
2019-07-04,05-34-39-840,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37591,635,False,False,True,64240,1089946550,1359245132,128
2019-07-04,05-34-39-840,50E549D02BD2,000C2916D761,192.168.137.10,37591,10.0.0.1,3128,71,False,False,True,63394,1359245727,1089946550,128
2019-07-04,05-34-39-840,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37591,40,False,False,True,64240,1089946581,1359245727,128
2019-07-04,05-34-39-840,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37591,735,False,False,True,64240,1089946581,1359245727,128
2019-07-04,05-34-39-840,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37591,255,False,False,True,64240,1089946581,1359246422,128
2019-07-04,05-34-39-840,50E549D02BD2,000C2916D761,192.168.137.10,37591,10.0.0.1,3128,40,False,False,True,64240,1359246637,1089946581,128
2019-07-04,05-34-39-840,50E549D02BD2,000C2916D761,192.168.137.10,37591,10.0.0.1,3128,79,False,False,True,64240,1359246637,1089946581,128
2019-07-04,05-34-39-840,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37591,40,False,False,True,64240,1089946620,1359246637,128
2019-07-04,05-34-40-049,50E549D02BD2,000C2916D761,192.168.137.10,37590,10.0.0.1,3128,40,False,True,True,63946,1515558279,1037660894,128
2019-07-04,05-34-40-049,50E549D02BD2,000C2916D761,192.168.137.10,37587,10.0.0.1,3128,133,False,False,True,63946,1888438131,2328314209,128
2019-07-04,05-34-40-049,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37590,40,False,False,True,64239,1037660895,1515558279,128
2019-07-04,05-34-40-049,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37587,40,False,False,True,64240,2328314302,1888438131,128
2019-07-04,05-34-40-049,50E549D02BD2,000C2916D761,192.168.137.10,37587,10.0.0.1,3128,398,False,False,True,63946,1888438131,2328314302,128
2019-07-04,05-34-40-049,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37587,40,False,False,True,64240,2328314660,1888438131,128
2019-07-04,05-34-40-049,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37590,40,False,True,True,64239,1037660895,1515558279,128
2019-07-04,05-34-40-049,50E549D02BD2,000C2916D761,192.168.137.10,37590,10.0.0.1,3128,40,False,False,True,63946,1515558280,1037660895,128
2019-07-04,05-34-40-049,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37587,78,False,False,True,64240,2328314660,1888438131,128
2019-07-04,05-34-40-049,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37587,78,False,False,True,64240,2328314660,1888438131,128
2019-07-04,05-34-40-049,50E549D02BD2,000C2916D761,192.168.137.10,37587,10.0.0.1,3128,40,False,False,True,63908,1888438169,2328314660,128
2019-07-04,05-34-40-049,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37587,1500,False,False,True,64240,2328314660,1888438169,128
